antecedents,consequents,support,confidence,lift
"ice cream, poultry, dinner rolls",spaghetti sauce,0.0518,0.59,1.5812
"cereals, spaghetti sauce","poultry, dinner rolls",0.0509,0.3053,1.5662
"juice, poultry, dinner rolls",spaghetti sauce,0.0518,0.5842,1.5655
"paper towels, eggs, pasta",ice cream,0.0553,0.6238,1.5649
"eggs, pasta, dinner rolls",paper towels,0.0518,0.5673,1.5646
"poultry, dishwashing liquid/detergent, laundry detergent",mixes,0.05,0.5876,1.5638
"sandwich bags, bagels, cheeses",cereals,0.0509,0.617,1.5583
"spaghetti sauce, laundry detergent, dinner rolls",poultry,0.0536,0.6559,1.5564
"spaghetti sauce, juice","poultry, dinner rolls",0.0518,0.301,1.5444
"toilet paper, yogurt, juice",aluminum foil,0.05,0.5938,1.544
"cereals, coffee/tea, cheeses",yogurt,0.05,0.5876,1.5281
"cereals, yogurt, coffee/tea",cheeses,0.05,0.5938,1.5197
"cereals, milk, poultry",laundry detergent,0.0509,0.5743,1.5176
"cereals, spaghetti sauce, dinner rolls",poultry,0.0509,0.6374,1.5124
"sandwich bags, cereals, cheeses",bagels,0.0509,0.58,1.5048
"paper towels, eggs, pasta",dinner rolls,0.0518,0.5842,1.5019
"lunch meat, sandwich loaves",individual meals,0.0825,0.5629,1.4979
"toilet paper, aluminum foil, juice",yogurt,0.05,0.5758,1.4972
"spaghetti sauce, poultry",dinner rolls,0.0992,0.5795,1.4899
"soda, eggs, pasta",dinner rolls,0.0518,0.5784,1.4872
"spaghetti sauce, shampoo",juice,0.0781,0.5597,1.4861
"poultry, laundry detergent, mixes",dishwashing liquid/detergent,0.05,0.5758,1.4837
"cereals, poultry, dinner rolls",spaghetti sauce,0.0509,0.5524,1.4804
"yogurt, poultry, mixes",aluminum foil,0.0509,0.5686,1.4787
"soda, eggs, dinner rolls",pasta,0.0518,0.5463,1.471
"cheeses, ketchup",sandwich loaves,0.0825,0.5137,1.47
"soda, pasta, dinner rolls",eggs,0.0518,0.5728,1.4695
"cheeses, yogurt, coffee/tea",cereals,0.05,0.5816,1.4689
"yogurt, poultry, juice",aluminum foil,0.05,0.5644,1.4676
"juice, dinner rolls",spaghetti sauce,0.086,0.5475,1.4673
"poultry, aluminum foil, mixes",yogurt,0.0509,0.5631,1.4643
"spaghetti sauce, aluminum foil",juice,0.086,0.5506,1.4617
"milk, sandwich loaves",ketchup,0.0729,0.5425,1.4607
"poultry, soda, eggs",dinner rolls,0.0518,0.5673,1.4586
"yogurt, shampoo",juice,0.0869,0.547,1.4522
"eggs, pasta, dinner rolls",soda,0.0518,0.5673,1.4521
"poultry, eggs, dinner rolls",soda,0.0518,0.5673,1.4521
"mixes, juice",spaghetti sauce,0.0799,0.5417,1.4517
"soda, hand soap",pasta,0.0746,0.538,1.4486
"individual meals, flour",sandwich loaves,0.072,0.5062,1.4486
"poultry, aluminum foil",juice,0.0957,0.545,1.447
"poultry, hand soap",dinner rolls,0.0869,0.5625,1.4462
"toilet paper, aluminum foil",juice,0.0869,0.544,1.4442
"ice cream, pasta",paper towels,0.0878,0.5236,1.4439
"eggs, pasta",paper towels,0.0887,0.5233,1.4432
"cereals, all- purpose",paper towels,0.079,0.5233,1.4431
"dishwashing liquid/detergent, shampoo",mixes,0.079,0.5422,1.4428
"mixes, juice",ketchup,0.079,0.5357,1.4425
"tortillas, laundry detergent",sandwich bags,0.0773,0.5301,1.4411
"all- purpose, individual meals",paper towels,0.0729,0.522,1.4396
"beef, all- purpose",fruits,0.0773,0.5333,1.4395
"paper towels, eggs",pasta,0.0887,0.5344,1.4389
"dishwashing liquid/detergent, hand soap",mixes,0.0773,0.5399,1.4367
"milk, poultry, laundry detergent",cereals,0.0509,0.5686,1.4361
"beef, soda",eggs,0.0869,0.5593,1.4348
"aluminum foil, ketchup",mixes,0.0852,0.5389,1.4341
"toilet paper, sandwich loaves",soap,0.0773,0.5432,1.4322
"soda, mixes",dishwashing liquid/detergent,0.0834,0.5556,1.4316
"cheeses, sandwich loaves",ketchup,0.0825,0.5311,1.43
"juice, spaghetti sauce, dinner rolls",poultry,0.0518,0.602,1.4286
"poultry, beef",sugar,0.0878,0.5155,1.4285
"spaghetti sauce, poultry, dinner rolls",laundry detergent,0.0536,0.5398,1.4266
"dishwashing liquid/detergent, laundry detergent, mixes",poultry,0.05,0.6,1.4237
"ketchup, all- purpose",soap,0.0834,0.5398,1.4232
"ice cream, eggs",paper towels,0.086,0.5158,1.4225
"soda, dinner rolls",pasta,0.0904,0.5282,1.4223
"cereals, aluminum foil",mixes,0.0887,0.5344,1.4221
"sandwich bags, cereals",cheeses,0.0878,0.5556,1.422
"coffee/tea, juice",ketchup,0.0825,0.5281,1.422
"sandwich bags, mixes",tortillas,0.0817,0.5254,1.4215
"yogurt, aluminum foil, juice",toilet paper,0.05,0.5377,1.4211
"soda, dinner rolls",eggs,0.0948,0.5538,1.4208
"paper towels, dinner rolls",eggs,0.086,0.5537,1.4203
"cheeses, soda",flour,0.0843,0.5,1.4167
"dishwashing liquid/detergent, sandwich loaves",flour,0.0658,0.5,1.4167
"fruits, spaghetti sauce",beef,0.0825,0.5311,1.4166
"sandwich bags, sugar",soda,0.0729,0.5533,1.4163
"yogurt, individual meals",sandwich loaves,0.0781,0.4944,1.415
"paper towels, dinner rolls",pasta,0.0817,0.5254,1.4148
"soap, eggs",soda,0.0922,0.5526,1.4145
"eggs, dinner rolls",pasta,0.0913,0.5253,1.4143
"pork, dinner rolls",shampoo,0.0746,0.5215,1.4142
"sandwich bags, spaghetti sauce",soap,0.079,0.5357,1.4125
"toilet paper, pasta",paper towels,0.0764,0.5118,1.4114
"eggs, shampoo",paper towels,0.0773,0.5116,1.411
"soap, mixes",ketchup,0.0773,0.5238,1.4104
"poultry, juice",aluminum foil,0.0957,0.5423,1.4102
"sandwich bags, shampoo",cheeses,0.0808,0.5509,1.4101
"spaghetti sauce, beef",fruits,0.0825,0.5222,1.4095
"soap, laundry detergent",all- purpose,0.0817,0.5284,1.4095
"shampoo, pork",juice,0.0755,0.5309,1.4095
"laundry detergent, juice",spaghetti sauce,0.0817,0.5254,1.4081
"ice cream, juice",paper towels,0.0852,0.5105,1.408
"ice cream, individual meals",sandwich loaves,0.0799,0.4919,1.4077
"dishwashing liquid/detergent, pork",mixes,0.0808,0.5287,1.4071
"ice cream, lunch meat",paper towels,0.0887,0.5101,1.4068
"aluminum foil, juice",yogurt,0.0931,0.5408,1.4064
"fruits, milk",beef,0.0773,0.5269,1.4056
"sugar, milk",toilet paper,0.0746,0.5312,1.4039
"pasta, individual meals",paper towels,0.0746,0.509,1.4037
"yogurt, hand soap",sandwich loaves,0.0667,0.4903,1.4032
"spaghetti sauce, ketchup",juice,0.0817,0.5284,1.4029
"dishwashing liquid/detergent, beef",fruits,0.0817,0.5196,1.4023
"sandwich bags, pork",ketchup,0.0781,0.5205,1.4014
"toilet paper, fruits",beef,0.0729,0.5253,1.4013
"butter, soda",eggs,0.0843,0.5455,1.3993
"milk, tortillas",sandwich bags,0.0781,0.5145,1.3985
"yogurt, dishwashing liquid/detergent",eggs,0.086,0.5444,1.3967
"eggs, dinner rolls",soda,0.0948,0.5455,1.3961
"soda, all- purpose",soap,0.079,0.5294,1.3958
"spaghetti sauce, all- purpose",soap,0.079,0.5294,1.3958
"toilet paper, fruits",bagels,0.0746,0.538,1.3958
"eggs, hand soap",dinner rolls,0.0781,0.5427,1.3953
"paper towels, dishwashing liquid/detergent",milk,0.0843,0.5304,1.3952
"coffee/tea, sandwich loaves",ketchup,0.0755,0.5181,1.395
"poultry, dishwashing liquid/detergent, mixes",laundry detergent,0.05,0.5278,1.3948
"beef, juice",shampoo,0.0799,0.5141,1.3943
"shampoo, aluminum foil",juice,0.0834,0.5249,1.3935
"spaghetti sauce, pork",bagels,0.0764,0.537,1.3934
"yogurt, aluminum foil",juice,0.0931,0.5248,1.3932
"toilet paper, fruits",cheeses,0.0755,0.5443,1.3932
"coffee/tea, shampoo",ketchup,0.079,0.5172,1.3928
"spaghetti sauce, flour",mixes,0.0694,0.5232,1.3923
"paper towels, soap",ketchup,0.0799,0.517,1.3922
"cereals, fruits",beef,0.0843,0.5217,1.3917
"coffee/tea, mixes",flour,0.0729,0.4911,1.3915
"pasta, mixes",flour,0.072,0.491,1.3912
"soap, aluminum foil",sandwich loaves,0.0764,0.486,1.3909
"cereals, milk, laundry detergent",poultry,0.0509,0.5859,1.3902
"yogurt, aluminum foil, mixes",poultry,0.0509,0.5859,1.3902
"shampoo, individual meals",sandwich loaves,0.0737,0.4855,1.3895
"cheeses, shampoo",sandwich bags,0.0808,0.5111,1.3894
"waffles, sandwich loaves",soap,0.0773,0.5269,1.3893
"fruits, juice",bagels,0.0729,0.5355,1.3893
"paper towels, sandwich loaves",individual meals,0.0729,0.522,1.3892
"soap, yogurt",sandwich loaves,0.0729,0.4854,1.3891
"fruits, soap",beef,0.0773,0.5207,1.389
"laundry detergent, sandwich loaves",poultry,0.0755,0.585,1.3882
"soda, sandwich loaves",ketchup,0.0729,0.5155,1.3881
"paper towels, ice cream",pasta,0.0878,0.5155,1.388
"yogurt, ice cream",aluminum foil,0.0834,0.5337,1.3879
"milk, pork",ketchup,0.0737,0.5153,1.3876
"fruits, milk",paper towels,0.0737,0.503,1.3872
"soap, pork",ketchup,0.0746,0.5152,1.3871
"ice cream, soda",soap,0.0887,0.526,1.3869
"sandwich loaves, juice",yogurt,0.0773,0.5333,1.3869
"toilet paper, all- purpose",paper towels,0.0773,0.5029,1.3868
"shampoo, aluminum foil",paper towels,0.0799,0.5028,1.3866
"butter, tortillas",mixes,0.0764,0.521,1.3864
"spaghetti sauce, poultry, dinner rolls",juice,0.0518,0.5221,1.3862
"cereals, ice cream",paper towels,0.0834,0.5026,1.3862
"fruits, flour",cheeses,0.0746,0.5414,1.3857
"soap, beef",sugar,0.0799,0.5,1.3856
"paper towels, pasta",eggs,0.0887,0.5401,1.3855
"eggs, pasta",dinner rolls,0.0913,0.5389,1.3855
"shampoo, hand soap",sandwich loaves,0.0667,0.4841,1.3853
"fruits, eggs",dishwashing liquid/detergent,0.0817,0.5376,1.3853
"milk, coffee/tea",ketchup,0.0781,0.5145,1.3852
"bagels, flour",sandwich loaves,0.0658,0.4839,1.3847
"dishwashing liquid/detergent, sandwich loaves",mixes,0.0685,0.52,1.3838
"bagels, sandwich loaves",juice,0.0755,0.5212,1.3838
"soap, individual meals",sandwich loaves,0.0773,0.4835,1.3837
"lunch meat, juice",spaghetti sauce,0.0834,0.5163,1.3837
"sandwich bags, soap",ketchup,0.0817,0.5138,1.3835
"ketchup, individual meals",soap,0.0746,0.5247,1.3834
"poultry, pasta",dinner rolls,0.0869,0.538,1.3834
"shampoo, pork",beef,0.0737,0.5185,1.3831
"soda, mixes",sandwich bags,0.0764,0.5088,1.383
"milk, coffee/tea",yogurt,0.0808,0.5318,1.3829
"ketchup, sandwich loaves",cheeses,0.0825,0.5402,1.3827
"hand soap, juice",spaghetti sauce,0.0711,0.5159,1.3827
"ketchup, pork",sandwich bags,0.0781,0.5086,1.3825
"sandwich bags, sugar",cheeses,0.0711,0.54,1.3822
"milk, juice",yogurt,0.0817,0.5314,1.382
"milk, mixes",dishwashing liquid/detergent,0.0852,0.5359,1.381
"eggs, lunch meat",dishwashing liquid/detergent,0.0852,0.5359,1.381
"beef, shampoo",juice,0.0799,0.52,1.3806
"shampoo, ketchup",coffee/tea,0.079,0.5233,1.3796
"fruits, mixes",dishwashing liquid/detergent,0.0799,0.5353,1.3794
"soap, sugar",beef,0.0799,0.517,1.3792
"toilet paper, individual meals",paper towels,0.0764,0.5,1.3789
"milk, eggs",paper towels,0.0843,0.5,1.3789
"toilet paper, ice cream",paper towels,0.0799,0.5,1.3789
"paper towels, ketchup",soap,0.0799,0.523,1.3789
"spaghetti sauce, ice cream",juice,0.0825,0.5193,1.3788
"sugar, mixes",dishwashing liquid/detergent,0.0737,0.535,1.3787
"soap, bagels",individual meals,0.0755,0.5181,1.3787
"sandwich bags, eggs",milk,0.0764,0.5241,1.3786
"toilet paper, poultry",sugar,0.0852,0.4974,1.3785
"sandwich bags, flour",cheeses,0.0737,0.5385,1.3782
"lunch meat, dinner rolls",sugar,0.0808,0.4973,1.3782
"sandwich bags, all- purpose",laundry detergent,0.0746,0.5215,1.3781
"cheeses, ketchup",flour,0.0781,0.4863,1.378
"toilet paper, yogurt",juice,0.0843,0.5189,1.3777
"yogurt, pasta",flour,0.0773,0.4862,1.3775
"soap, ketchup",sandwich loaves,0.079,0.4813,1.3773
"toilet paper, sandwich loaves",juice,0.0737,0.5185,1.3767
"soap, juice",ketchup,0.0799,0.5112,1.3766
"cheeses, hand soap",sandwich loaves,0.0667,0.481,1.3766
"ketchup, hand soap",sandwich loaves,0.0667,0.481,1.3766
"hand soap, individual meals",sandwich loaves,0.0667,0.481,1.3766
"waffles, mixes",dishwashing liquid/detergent,0.0825,0.5341,1.3763
"fruits, shampoo",cheeses,0.0755,0.5375,1.3758
"fruits, juice",yogurt,0.072,0.529,1.3757
"fruits, sandwich loaves",beef,0.072,0.5157,1.3757
"soda, sandwich loaves",soap,0.0737,0.5217,1.3756
"fruits, ketchup",sandwich bags,0.0746,0.506,1.3754
"soap, all- purpose",ketchup,0.0834,0.5108,1.3753
"soap, hand soap",sandwich loaves,0.065,0.4805,1.3752
"mixes, dinner rolls",hand soap,0.0773,0.4757,1.3751
"paper towels, cheeses",sandwich bags,0.0764,0.5058,1.375
"dishwashing liquid/detergent, dinner rolls",pasta,0.0843,0.5106,1.375
"paper towels, dishwashing liquid/detergent",eggs,0.0852,0.5359,1.3748
"ice cream, eggs",pasta,0.0852,0.5105,1.3747
"spaghetti sauce, shampoo",dinner rolls,0.0746,0.5346,1.3745
"ice cream, eggs",soda,0.0896,0.5368,1.3741
"fruits, all- purpose",beef,0.0773,0.5146,1.3727
"ice cream, shampoo",sandwich loaves,0.072,0.4795,1.3723
"soda, pasta",dinner rolls,0.0904,0.5337,1.3721
"dishwashing liquid/detergent, eggs",paper towels,0.0852,0.4974,1.3719
"yogurt, juice",aluminum foil,0.0931,0.5274,1.3714
"cereals, shampoo",paper towels,0.079,0.4972,1.3713
"yogurt, spaghetti sauce",juice,0.0825,0.5165,1.3713
"cereals, juice",shampoo,0.079,0.5056,1.3712
"beef, lunch meat",shampoo,0.0799,0.5056,1.371
"yogurt, coffee/tea",cheeses,0.086,0.5355,1.3707
"toilet paper, sandwich bags",paper towels,0.072,0.497,1.3706
"yogurt, laundry detergent",all- purpose,0.0817,0.5138,1.3706
"poultry, aluminum foil",mixes,0.0904,0.515,1.3705
"spaghetti sauce, dishwashing liquid/detergent",milk,0.0764,0.521,1.3704
"ketchup, flour",mixes,0.0764,0.5148,1.37
"mixes, flour",ketchup,0.0764,0.5088,1.37
"cheeses, juice",ketchup,0.0764,0.5088,1.37
"sandwich bags, sandwich loaves",cheeses,0.0737,0.535,1.3694
"yogurt, mixes",aluminum foil,0.0869,0.5266,1.3694
"milk, bagels",spaghetti sauce,0.0825,0.5109,1.3691
"dishwashing liquid/detergent, flour",mixes,0.0781,0.5145,1.3691
"sandwich bags, aluminum foil",cheeses,0.0808,0.5349,1.3691
"soap, coffee/tea",ketchup,0.0808,0.5083,1.3687
"fruits, poultry",beef,0.086,0.5131,1.3686
"dishwashing liquid/detergent, ketchup",mixes,0.0799,0.5141,1.3682
"spaghetti sauce, dinner rolls",poultry,0.0992,0.5765,1.3681
"soda, all- purpose",laundry detergent,0.0773,0.5176,1.368
"butter, pork",sandwich bags,0.0685,0.5032,1.368
"spaghetti sauce, shampoo",sandwich loaves,0.0667,0.478,1.3679
"bagels, soda",individual meals,0.0808,0.514,1.3678
"beef, flour",sugar,0.0667,0.4935,1.3676
"beef, pasta",hand soap,0.0694,0.4731,1.3675
"coffee/tea, individual meals",lunch meat,0.0825,0.5402,1.3674
"dishwashing liquid/detergent, aluminum foil",mixes,0.0817,0.5138,1.3674
"cheeses, pork",sandwich bags,0.0755,0.5029,1.3671
"all- purpose, sandwich loaves",soap,0.0737,0.5185,1.3671
"dishwashing liquid/detergent, tortillas",sandwich bags,0.0764,0.5029,1.367
"sandwich bags, bagels",cheeses,0.0825,0.5341,1.367
"milk, aluminum foil",mixes,0.0825,0.5137,1.367
"tortillas, mixes",sandwich bags,0.0817,0.5027,1.3665
"waffles, milk",lunch meat,0.0773,0.5399,1.3665
"beef, sandwich loaves",fruits,0.072,0.5062,1.3662
"dishwashing liquid/detergent, sandwich loaves",individual meals,0.0676,0.5133,1.3661
"cereals, cheeses",sandwich bags,0.0878,0.5025,1.366
"shampoo, individual meals",juice,0.0781,0.5145,1.3659
"fruits, sugar",beef,0.0746,0.512,1.3659
"eggs, aluminum foil",yogurt,0.0825,0.5251,1.3656
"soda, flour",cheeses,0.0843,0.5333,1.3651
"waffles, shampoo",juice,0.0799,0.5141,1.365
"eggs, dinner rolls",paper towels,0.086,0.4949,1.365
"milk, dishwashing liquid/detergent",paper towels,0.0843,0.4948,1.3647
"bagels, beef",fruits,0.079,0.5056,1.3647
"hand soap, juice",shampoo,0.0694,0.5032,1.3646
"flour, juice",shampoo,0.0694,0.5032,1.3646
"soda, sandwich loaves",shampoo,0.0711,0.5031,1.3644
"sandwich loaves, juice",spaghetti sauce,0.0737,0.5091,1.3644
"paper towels, flour",mixes,0.0711,0.5127,1.3643
"poultry, dinner rolls",spaghetti sauce,0.0992,0.509,1.3641
"ketchup, sandwich loaves",soap,0.079,0.5172,1.3637
"individual meals, juice",shampoo,0.0781,0.5028,1.3636
"individual meals, dinner rolls",sandwich loaves,0.0711,0.4765,1.3636
"juice, dinner rolls",shampoo,0.079,0.5028,1.3635
"tortillas, flour",mixes,0.0729,0.5123,1.3635
"poultry, beef",fruits,0.086,0.5052,1.3634
"cheeses, laundry detergent",shampoo,0.0808,0.5027,1.3634
"dishwashing liquid/detergent, juice",paper towels,0.0755,0.4943,1.3631
"ketchup, lunch meat",pork,0.0694,0.4847,1.363
"ice cream, soda",eggs,0.0896,0.5312,1.3628
"fruits, mixes",paper towels,0.0737,0.4941,1.3627
"yogurt, coffee/tea",flour,0.0773,0.4809,1.3625
"beef, eggs",soda,0.0869,0.5323,1.3623
"ketchup, juice",spaghetti sauce,0.0817,0.5082,1.362
"sandwich bags, coffee/tea",ketchup,0.0773,0.5057,1.3618
"soda, juice",eggs,0.0834,0.5307,1.3615
"yogurt, sandwich loaves",individual meals,0.0781,0.5115,1.3612
"ice cream, soda",waffles,0.0904,0.5365,1.3609
"coffee/tea, pasta",flour,0.0746,0.4802,1.3606
"soap, ice cream",soda,0.0887,0.5316,1.3606
"cheeses, individual meals",sandwich loaves,0.0764,0.4754,1.3605
"sugar, mixes",poultry,0.079,0.5732,1.3603
"all- purpose, flour",sandwich loaves,0.0676,0.4753,1.3602
"ketchup, individual meals",sandwich loaves,0.0676,0.4753,1.3602
"sugar, pork",flour,0.0632,0.48,1.36
"poultry, aluminum foil, juice",yogurt,0.05,0.5229,1.3599
"paper towels, soda",eggs,0.0852,0.5301,1.3598
"milk, waffles",dishwashing liquid/detergent,0.0755,0.5276,1.3596
"soda, lunch meat",dishwashing liquid/detergent,0.0843,0.5275,1.3593
"dishwashing liquid/detergent, laundry detergent",mixes,0.0834,0.5108,1.3592
"cheeses, beef",sandwich bags,0.0799,0.5,1.3592
"yogurt, tortillas",sandwich bags,0.0764,0.5,1.3592
"beef, mixes",dishwashing liquid/detergent,0.0764,0.5273,1.3587
"coffee/tea, juice",yogurt,0.0817,0.5225,1.3587
"waffles, shampoo",lunch meat,0.0834,0.5367,1.3585
"yogurt, ketchup",juice,0.0781,0.5115,1.358
"soda, all- purpose",waffles,0.0799,0.5353,1.3579
"laundry detergent, sandwich loaves",individual meals,0.0658,0.5102,1.3578
"butter, eggs",soda,0.0843,0.5304,1.3576
"poultry, individual meals",sandwich loaves,0.0808,0.4742,1.3571
"waffles, beef",fruits,0.079,0.5028,1.3571
"soda, aluminum foil",yogurt,0.0843,0.5217,1.3568
"milk, sandwich loaves",individual meals,0.0685,0.5098,1.3567
"paper towels, cheeses",ice cream,0.0817,0.5407,1.3565
"milk, lunch meat",paper towels,0.079,0.4918,1.3563
"poultry, sandwich loaves",yogurt,0.0852,0.5215,1.3562
"lunch meat, juice",shampoo,0.0808,0.5,1.356
"paper towels, aluminum foil",shampoo,0.0799,0.5,1.356
"toilet paper, flour",shampoo,0.0711,0.5,1.356
"toilet paper, dishwashing liquid/detergent",waffles,0.0817,0.5345,1.3558
"eggs, aluminum foil",paper towels,0.0773,0.4916,1.3558
"soda, pasta",eggs,0.0896,0.5285,1.3558
"soda, shampoo",sandwich loaves,0.0711,0.4737,1.3556
"sugar, beef",soap,0.0799,0.5141,1.3555
"soda, sandwich loaves",individual meals,0.072,0.5093,1.3554
"flour, sandwich loaves",individual meals,0.072,0.5093,1.3554
"soap, ketchup",all- purpose,0.0834,0.508,1.3551
"bagels, beef",spaghetti sauce,0.079,0.5056,1.3551
"milk, spaghetti sauce",bagels,0.0825,0.5222,1.3549
"cheeses, spaghetti sauce",sandwich loaves,0.0781,0.4734,1.3548
"soda, shampoo",paper towels,0.0737,0.4912,1.3547
"sandwich bags, waffles",soap,0.0817,0.5138,1.3547
"spaghetti sauce, hand soap",pasta,0.0729,0.503,1.3545
"sandwich bags, toilet paper",ketchup,0.0729,0.503,1.3545
"ketchup, juice",coffee/tea,0.0825,0.5137,1.3543
"pasta, dinner rolls",eggs,0.0913,0.5279,1.3543
"poultry, soda",eggs,0.0913,0.5279,1.3543
"sugar, eggs",soda,0.0799,0.5291,1.3542
"pasta, mixes",paper towels,0.072,0.491,1.3542
"poultry, hand soap",sugar,0.0755,0.4886,1.3542
"coffee/tea, mixes",yogurt,0.0773,0.5207,1.3541
"pasta, flour",yogurt,0.0773,0.5207,1.3541
"aluminum foil, sandwich loaves",individual meals,0.0764,0.5088,1.354
"sandwich bags, waffles",ketchup,0.0799,0.5028,1.3538
"coffee/tea, dinner rolls",ketchup,0.0799,0.5028,1.3538
"paper towels, soda",pasta,0.0808,0.5027,1.3537
"soap, soda",eggs,0.0922,0.5276,1.3536
"cheeses, juice",aluminum foil,0.0781,0.5205,1.3535
"sandwich bags, dishwashing liquid/detergent",mixes,0.0781,0.5086,1.3534
"toilet paper, pork",juice,0.0702,0.5096,1.3529
"milk, individual meals",sandwich loaves,0.0685,0.4727,1.3529
"milk, all- purpose",yogurt,0.079,0.5202,1.3528
"toilet paper, individual meals",lunch meat,0.0817,0.5345,1.3528
"butter, mixes",tortillas,0.0764,0.5,1.3527
"toilet paper, mixes",tortillas,0.0746,0.5,1.3527
"eggs, pasta",soda,0.0896,0.5285,1.3527
"eggs, lunch meat",individual meals,0.0808,0.5083,1.3527
"sandwich bags, tortillas",mixes,0.0817,0.5082,1.3524
"sandwich loaves, juice",bagels,0.0755,0.5212,1.3523
"soap, ketchup",sandwich bags,0.0817,0.4973,1.3519
"lunch meat, sandwich loaves",waffles,0.0781,0.5329,1.3519
"laundry detergent, juice",aluminum foil,0.0808,0.5198,1.3516
"paper towels, poultry",milk,0.0817,0.5138,1.3516
"pasta, lunch meat",sugar,0.0694,0.4877,1.3514
"lunch meat, juice",waffles,0.086,0.5326,1.3511
"juice, dinner rolls",yogurt,0.0817,0.5196,1.3511
"butter, tortillas",sandwich bags,0.0729,0.497,1.351
"cheeses, tortillas",sandwich bags,0.072,0.497,1.351
