CUSTOMERNAME,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
Heintze Collectables,209,2,100595.55,2,1,3,213,6,At Risk / Verge of Churning
Herkku Gifts,258,3,111640.28,1,3,3,133,7,Loyal Customers
"Iberia Gift Imports, Corp.",225,2,54723.62,2,1,1,211,4,Lost Customers
L'ordine Souveniers,8,3,142601.33,4,3,4,434,11,Best Customers
"La Corne D'abondance, Co.",180,3,97203.68,3,3,3,333,9,Loyal Customers
La Rochelle Gifts,105,3,136340.21,4,3,4,434,11,Best Customers
Land of Toys Inc.,185,3,118711.78,2,3,4,234,9,Loyal Customers
Lyon Souveniers,62,3,78570.34,4,3,2,432,9,Loyal Customers
Marseille Mini Autos,133,3,74936.14,3,3,2,332,8,Loyal Customers
Marta's Replicas Co.,218,2,103080.38,2,1,3,213,6,At Risk / Verge of Churning
Microscale Inc.,197,2,33144.93,2,1,1,211,4,Lost Customers
Mini Auto Werke,69,2,23713.309999999998,4,1,1,411,6,At Risk / Verge of Churning
Mini Caravy,34,3,80438.48,4,3,2,432,9,Loyal Customers
Mini Classics,216,2,85555.99,2,1,3,213,6,At Risk / Verge of Churning
Mini Creations Ltd.,132,3,108951.13,3,3,3,333,9,Loyal Customers
Mini Gifts Distributors Ltd.,56,16,647596.31,4,4,4,444,12,Best Customers
Motor Mint Distributors Inc.,183,3,83682.16,3,3,2,332,8,Loyal Customers
Muscle Machine Inc,169,4,197736.94,3,4,4,344,11,Best Customers
"Norway Gifts By Mail, Co.",271,2,79224.23,1,1,2,112,4,Lost Customers
Online Diecast Creations Co.,196,3,131685.3,2,3,4,234,9,Loyal Customers
Online Mini Collectables,251,2,57197.96,2,1,1,211,4,Lost Customers
Osaka Souveniers Co.,401,2,67605.07,1,2,2,122,5,At Risk / Verge of Churning
"Oulu Toy Supplies, Inc.",108,3,104370.38,3,3,3,333,9,Loyal Customers
Petit Auto,302,2,66560.56999999999,1,2,2,122,5,At Risk / Verge of Churning
Quebec Home Shopping Network,17,3,74204.79,4,3,2,432,9,Loyal Customers
Reims Collectables,49,5,135042.94,4,4,4,444,12,Best Customers
Rovelli Gifts,188,3,137955.72,2,3,4,234,9,Loyal Customers
"Royal Canadian Collectables, Ltd.",272,2,74634.85,1,2,2,122,5,At Risk / Verge of Churning
Royale Belge,129,4,33440.1,3,4,1,341,8,Loyal Customers
Salzburg Collectables,1,4,149798.63,4,4,4,444,12,Best Customers
"Saveley & Henriot, Co.",443,3,142874.25,1,3,4,134,8,Loyal Customers
Scandinavian Gift Ideas,76,2,85548.41,4,2,3,423,9,Loyal Customers
Signal Collectibles Ltd.,463,2,50218.51,1,2,1,121,4,Lost Customers
Signal Gift Stores,171,3,82751.08,3,4,2,342,9,Loyal Customers
Souveniers And Things Co.,153,3,107599.55,3,4,3,343,10,Best Customers
"Stylish Desk Decors, Co.",167,3,88804.5,3,4,3,343,10,Best Customers
Suominen Souveniers,133,3,113961.15,3,4,3,343,10,Best Customers
Super Scale Inc.,380,2,79472.07,1,2,2,122,5,At Risk / Verge of Churning
Technics Stores Inc.,134,4,120783.07,3,4,4,344,11,Best Customers
Tekni Collectables Inc.,366,2,36709.19,1,2,1,121,4,Lost Customers
The Sharp Gifts Warehouse,47,3,102127.18000000001,4,4,3,443,11,Best Customers
"Tokyo Collectables, Ltd",26,4,120562.74,4,4,4,444,12,Best Customers
"Toms Spezialitten, Ltd",215,2,100306.58,2,2,3,223,7,Loyal Customers
"Toys of Finland, Co.",99,3,111250.38,4,4,3,443,11,Best Customers
Toys4GrownUps.com,547,2,60288.6,1,2,1,121,4,Lost Customers
"UK Collectables, Ltd.",40,2,67600.02,4,2,2,422,8,Loyal Customers
"Vida Sport, Ltd",262,2,117713.56,1,2,4,124,7,Loyal Customers
Vitachrome Inc.,195,3,88041.26,2,4,3,243,9,Loyal Customers
"Volvo Model Replicas, Co",191,3,49494.67,2,4,1,241,7,Loyal Customers
West Coast Collectables Co.,475,2,46084.64,1,2,1,121,4,Lost Customers
giftsbymail.co.uk,199,2,78240.84,2,2,2,222,6,At Risk / Verge of Churning
